Extract Method	Translation	Positive	Negative	EmotionRationale
4596 commit fdea15b96d79299dc2ad248cd1353ac9190f5e33 fixed 2 bugs that cropped up during deployment testing. pathname of the repository was getting garbled by leading prefix, had to strip it out. i had skipped that step because it didn't happen to me in local testing, and i couldn't figure out why the code was in place to strip it. also fixed an issue where the browse button wasn't opening to the current repository by default. also refactored the location resolver a little more. 	4596 commit fdea15b96d79299dc2ad248cd1353ac9190f5e33 fixed 2 bugs that cropped up during deployment testing.<br> pathname of the repository was getting garbled by leading prefix, had to strip it out.<br> i had skipped that step because it didn't happen to me in local testing, and i couldn't figure out why the code was in place to strip it.<br> also fixed an issue where the browse button wasn't opening to the current repository by default.<br> also refactored the location resolver a little more.	2	-2	 4596[0] commit[0] fdea15b96d79299dc2ad248cd1353ac9190f5e33[0] fixed[0] 2[0] bugs[0] that[0] cropped[0] up[0] during[0] deployment[0] testing[0] [[Sentence=-1,1=word max, 1-5]] pathname[0] of[0] the[0] repository[0] was[0] getting[0] garbled[0] by[0] leading[0] prefix[0] had[0] to[0] strip[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]] i[0] had[0] skipped[0] that[0] step[0] because[0] it[0] didn't[0] happen[0] to[0] me[0] in[0] local[0] testing[0] and[0] i[0] couldn't[0] figure[0] out[0] why[0] the[0] code[0] was[0] in[0] place[0] to[0] strip[0] it[0] [[Sentence=-1,1=word max, 1-5]] also[0] fixed[0] an[0] issue[0] where[0] the[0] browse[0] button[0] wasn't[0] opening[0] to[0] the[0] current[0] repository[0] by[0] default[-1] [[Sentence=-2,1=word max, 1-5]] also[0] refactored[0] the[0] location[0] resolver[1] a[0] little[0] more[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
4963 commit 2f53f7ec87dd4f223690facf591a154cc5682f77 some refactoring to add a simple legend card generator. 	4963 commit 2f53f7ec87dd4f223690facf591a154cc5682f77 some refactoring to add a simple legend card generator.	1	-1	 4963[0] commit[0] 2f53f7ec87dd4f223690facf591a154cc5682f77[0] some[0] refactoring[0] to[0] add[0] a[0] simple[0] legend[0] card[0] generator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5592 commit d8ea9c523d6314fce80603944c51c510b3c0f7f2 minor refactoring 	5592 commit d8ea9c523d6314fce80603944c51c510b3c0f7f2 minor refactoring	1	-1	 5592[0] commit[0] d8ea9c523d6314fce80603944c51c510b3c0f7f2[0] minor[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6552 commit db81dfe33f9db4d60d2ff54ea4a781c7ab22a645 adding support for starting backgrounds. setting starting backgrounds and essence for dreams lunars. refactoring the implementation of casteless backgrounds a bit to comply with anathema standards. applying some charm updates from douglas. 	6552 commit db81dfe33f9db4d60d2ff54ea4a781c7ab22a645 adding support for starting backgrounds.<br> setting starting backgrounds and essence for dreams lunars.<br> refactoring the implementation of casteless backgrounds a bit to comply with anathema standards.<br> applying some charm updates from douglas.	1	-1	 6552[0] commit[0] db81dfe33f9db4d60d2ff54ea4a781c7ab22a645[0] adding[0] support[0] for[0] starting[0] backgrounds[0] [[Sentence=-1,1=word max, 1-5]] setting[0] starting[0] backgrounds[0] and[0] essence[0] for[0] dreams[0] lunars[0] [[Sentence=-1,1=word max, 1-5]] refactoring[0] the[0] implementation[0] of[0] casteless[0] backgrounds[0] a[0] bit[0] to[0] comply[0] with[0] anathema[0] standards[0] [[Sentence=-1,1=word max, 1-5]] applying[0] some[0] charm[1][-1 LastWordBoosterStrength] updates[0] from[0] douglas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7437 commit d38c2ef96080d0bb0b3b94a6972e320ce4a9ac95 refactored towards less duplication 	7437 commit d38c2ef96080d0bb0b3b94a6972e320ce4a9ac95 refactored towards less duplication	1	-1	 7437[0] commit[0] d38c2ef96080d0bb0b3b94a6972e320ce4a9ac95[0] refactored[0] towards[0] less[0] duplication[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7777 commit 373c2d8998afefbb84eeefa111c0c0c73ec872ad refactoring animatableencoder: getstring 	77 commit 373c2d8998afefbb84eefa11c0c0c73ec872ad refactoring animatableencoder: getstring	2	-1	 7777/77[0][+0.6 MultipleLetters] commit[0] 373c2d8998afefbb84eeefa111c0c0c73ec872ad/373c2d8998afefbb84eefa11c0c0c73ec872ad[0][+0.6 MultipleLetters] refactoring[0] animatableencoder[0] getstring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
8998 commit 229cd9071fcf4acdb159142d5be9c37b736e6577 code cleanup 	8998 commit 229cd9071fcf4acdb159142d5be9c37b736e6577 code cleanup	1	-1	 8998[0] commit[0] 229cd9071fcf4acdb159142d5be9c37b736e6577[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9180 commit df44bcab03eb62a8506a9ee27b7d3f8b3f682dd2 code cleanup 	9180 commit df44bcab03eb62a8506a9ee27b7d3f8b3f682dd2 code cleanup	1	-1	 9180[0] commit[0] df44bcab03eb62a8506a9ee27b7d3f8b3f682dd2[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9230 commit 27631cdee4163b5521444746667610473ddbd99d code cleanup 	9230 commit 27631cdee4163b55214474667610473ddbd99d code cleanup	2	-1	 9230[0] commit[0] 27631cdee4163b5521444746667610473ddbd99d/27631cdee4163b55214474667610473ddbd99d[0][+0.6 MultipleLetters] code[0] cleanup[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
10053 commit 2d877b1a3292bd529bf873d996a7efd93c562996 extract method: initconcept 	10053 commit 2d877b1a3292bd529bf873d996a7efd93c562996 extract method: initconcept	1	-1	 10053[0] commit[0] 2d877b1a3292bd529bf873d996a7efd93c562996[0] extract[0] method[0] initconcept[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
10230 commit f320544892856247d92853d2e73647db2fc46d5e code cleanup 	10230 commit f320544892856247d92853d2e73647db2fc46d5e code cleanup	1	-1	 10230[0] commit[0] f320544892856247d92853d2e73647db2fc46d5e[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
