Inline Method	Translation	Positive	Negative	EmotionRationale
4241 commit 14302c3e24e1d6720847d33bdef3aecabba7c2dd request/response refactor 	4241 commit 14302c3e24e1d6720847d33bdef3aecabba7c2dd request/response refactor	1	-1	 4241[0] commit[0] 14302c3e24e1d6720847d33bdef3aecabba7c2dd[0] request/response[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4242 commit 57dfe342752caad31ab3301cc170ce6026f7eaa6 request/response refactoring 	4242 commit 57dfe342752cad31ab3301cc170ce6026f7ea6 request/response refactoring	2	-1	 4242[0] commit[0] 57dfe342752caad31ab3301cc170ce6026f7eaa6/57dfe342752cad31ab3301cc170ce6026f7ea6[0][+0.6 MultipleLetters] request/response[0] refactoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4512 commit 73e3e1dc45518ed00956c0a000a78fc0fbd9ab4f ejb refactor 	4512 commit 73e3e1dc45518ed00956c0a00a78fc0fbd9ab4f ejb refactor	1	-1	 4512[0] commit[0] 73e3e1dc45518ed00956c0a000a78fc0fbd9ab4f/73e3e1dc45518ed00956c0a00a78fc0fbd9ab4f[0] ejb[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4536 commit cfd8eb3a4cd4bb3cb4dde84c34250eebec60e800 candi refactor 	4536 commit cfd8eb3a4cd4bb3cb4dde84c34250eebec60e800 candi refactor	1	-1	 4536[0] commit[0] cfd8eb3a4cd4bb3cb4dde84c34250eebec60e800[0] candi[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5809 commit 1e241dbffc0ba85a958e0433ae3db3e6a6afea0a bam php refactor 	5809 commit 1e241dbffc0ba85a958e0433ae3db3e6a6afea0a bam php refactor	1	-1	 5809[0] commit[0] 1e241dbffc0ba85a958e0433ae3db3e6a6afea0a[0] bam[0] php[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6178 commit 8f3a850f9a136b3674ceec60ad5242339f83b498 tempstream refactoring 	6178 commit 8f3a850f9a136b3674ceec60ad5242339f83b498 tempstream refactoring	1	-1	 6178[0] commit[0] 8f3a850f9a136b3674ceec60ad5242339f83b498[0] tempstream[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6372 commit ca6893f5fa22f6c638200bb2b20cd9940ed64324 ejb refactory - basic security role checkin 	6372 commit ca6893f5fa22f6c638200bb2b20cd9940ed64324 ejb refactory - basic security role checkin	1	-1	 6372[0] commit[0] ca6893f5fa22f6c638200bb2b20cd9940ed64324[0] ejb[0] refactory[0] basic[0] security[0] role[0] checkin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6638 commit 9816cc14d2e4b6680dcdc0975d135cb41b1dbc92 partial ejb fixes/refactoring for seam 	6638 commit 9816cc14d2e4b6680dcdc0975d135cb41b1dbc92 partial ejb fixes/refactoring for seam	1	-1	 6638[0] commit[0] 9816cc14d2e4b6680dcdc0975d135cb41b1dbc92[0] partial[0] ejb[0] fixes/refactoring[0] for[0] seam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8094 commit 5f5ff37b9ed28fe0766f20e1952a72d0c409f456 amber partial refactoring and jpa tck 	8094 commit 5f5ff37b9ed28fe0766f20e1952a72d0c409f456 amber partial refactoring and jpa tck	1	-1	 8094[0] commit[0] 5f5ff37b9ed28fe0766f20e1952a72d0c409f456[0] amber[0] partial[0] refactoring[0] and[0] jpa[0] tck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8143 commit d6183e0db7ae6f52a2d413607acb182e19018ee7 partial quercus refactor 	8143 commit d6183e0db7ae6f52a2d413607acb182e19018ee7 partial quercus refactor	1	-1	 8143[0] commit[0] d6183e0db7ae6f52a2d413607acb182e19018ee7[0] partial[0] quercus[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8647 commit 6a52c740c76d77eb94eeb0a822cca37d8bf1d3b5 code cleanup 	8647 commit 6a52c740c76d77eb94eeb0a822cca37d8bf1d3b5 code cleanup	1	-1	 8647[0] commit[0] 6a52c740c76d77eb94eeb0a822cca37d8bf1d3b5[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9280 commit aca99c78afd8ff7e596e5d9d1713e121b0a4bee8 print_r refactoring 	9280 commit aca99c78afd8ff7e596e5d9d1713e121b0a4bee8 print_r refactoring	1	-1	 9280[0] commit[0] aca99c78afd8ff7e596e5d9d1713e121b0a4bee8[0] print_r[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
