Move Method	Translation	Positive	Negative	EmotionRationale
2962 commit 3b7221bb927081fc1e1c531d3bc0816f7c889dd1 refactor jspexpressionfactory 	2962 commit 3b7221bb927081fc1e1c531d3bc0816f7c889dd1 refactor jspexpressionfactory	1	-1	 2962[0] commit[0] 3b7221bb927081fc1e1c531d3bc0816f7c889dd1[0] refactor[0] jspexpressionfactory[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model 	3090 commit a4b0e029f9eff08536a0eab92e376d2fb5ce7a40 ejb refactor for new proxy model	1	-1	 3090[0] commit[0] a4b0e029f9eff08536a0eab92e376d2fb5ce7a40[0] ejb[0] refactor[0] for[0] new[0] proxy[0] model[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3095 commit 95a617560a195759aaa1f184341d7f58b007db5c ejb gen/view refactor 	3095 commit 95a617560a195759a1f184341d7f58b007db5c ejb gen/view refactor	2	-1	 3095[0] commit[0] 95a617560a195759aaa1f184341d7f58b007db5c/95a617560a195759a1f184341d7f58b007db5c[0][+0.6 MultipleLetters] ejb[0] gen/view[0] refactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
3121 commit 438ca530719af9c7c1e783fcc649dc45d36afe88 ejb view refactoring 	3121 commit 438ca530719af9c7c1e783fcc649dc45d36afe88 ejb view refactoring	1	-1	 3121[0] commit[0] 438ca530719af9c7c1e783fcc649dc45d36afe88[0] ejb[0] view[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3178 commit dacb6fb872c32446c5341be806dede2353a11e5d ejb refactor: apiclass to annotatedtype 	3178 commit dacb6fb872c32446c5341be806dede2353a11e5d ejb refactor: apiclass to annotatedtype	1	-1	 3178[0] commit[0] dacb6fb872c32446c5341be806dede2353a11e5d[0] ejb[0] refactor[0] apiclass[0] to[0] annotatedtype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3581 commit 09416536a7c7b57253e0ba8630ec3ee31a47bf3c protocol/async refactor 	3581 commit 09416536a7c7b57253e0ba8630ec3ee31a47bf3c protocol/async refactor	1	-1	 3581[0] commit[0] 09416536a7c7b57253e0ba8630ec3ee31a47bf3c[0] protocol/async[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4241 commit 14302c3e24e1d6720847d33bdef3aecabba7c2dd request/response refactor 	4241 commit 14302c3e24e1d6720847d33bdef3aecabba7c2dd request/response refactor	1	-1	 4241[0] commit[0] 14302c3e24e1d6720847d33bdef3aecabba7c2dd[0] request/response[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4242 commit 57dfe342752caad31ab3301cc170ce6026f7eaa6 request/response refactoring 	4242 commit 57dfe342752cad31ab3301cc170ce6026f7ea6 request/response refactoring	2	-1	 4242[0] commit[0] 57dfe342752caad31ab3301cc170ce6026f7eaa6/57dfe342752cad31ab3301cc170ce6026f7ea6[0][+0.6 MultipleLetters] request/response[0] refactoring[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4243 commit 441b1835957840a73ac27310190aa5b9b067b029 request/response refactor 	4243 commit 441b1835957840a73ac27310190a5b9b067b029 request/response refactor	1	-1	 4243[0] commit[0] 441b1835957840a73ac27310190aa5b9b067b029/441b1835957840a73ac27310190a5b9b067b029[0] request/response[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4263 commit 6365caa76696cf39e80279d1264c682e8328434c connection/port refactor 	4263 commit 6365ca76696cf39e80279d1264c682e8328434c connection/port refactor	1	-1	 4263[0] commit[0] 6365caa76696cf39e80279d1264c682e8328434c/6365ca76696cf39e80279d1264c682e8328434c[0] connection/port[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4521 commit 7e0a694d78bdc19688b41da20418f6a28c748f40 ioc refactor 	4521 commit 7e0a694d78bdc19688b41da20418f6a28c748f40 ioc refactor	1	-1	 4521[0] commit[0] 7e0a694d78bdc19688b41da20418f6a28c748f40[0] ioc[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5180 commit f7497f8f1c9f5f03d43448da3ead48608c3b5be5 cluster-triad refactor 	5180 commit f7497f8f1c9f5f03d43448da3ead48608c3b5be5 cluster-triad refactor	1	-1	 5180[0] commit[0] f7497f8f1c9f5f03d43448da3ead48608c3b5be5[0] cluster[0] triad[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5184 commit 50065aa7211a1f30e05e3b2fa523f74a2bbbfa79 authentication refactor 	5184 commit 50065a7211a1f30e05e3b2fa523f74a2bbfa79 authentication refactor	2	-1	 5184[0] commit[0] 50065aa7211a1f30e05e3b2fa523f74a2bbbfa79/50065a7211a1f30e05e3b2fa523f74a2bbfa79[0][+0.6 MultipleLetters] authentication[0] refactor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
5720 commit 9b55f71884e50e0be276360f486277a41a7f8876 amber refactory one2many 	5720 commit 9b55f71884e50e0be276360f486277a41a7f8876 amber refactory one2many	1	-1	 5720[0] commit[0] 9b55f71884e50e0be276360f486277a41a7f8876[0] amber[0] refactory[0] one2many[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5723 commit 228f2d0dac09b0d5dd55503fd689f4ca44b9b03c amber partial refactor 	5723 commit 228f2d0dac09b0d5dd5503fd689f4ca44b9b03c amber partial refactor	1	-1	 5723[0] commit[0] 228f2d0dac09b0d5dd55503fd689f4ca44b9b03c/228f2d0dac09b0d5dd5503fd689f4ca44b9b03c[0] amber[0] partial[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5899 commit 5774850e512bd28b5dc5dea38b6168eb21a2b5ef cluster refactoring 	5899 commit 5774850e512bd28b5dc5dea38b6168eb21a2b5ef cluster refactoring	1	-1	 5899[0] commit[0] 5774850e512bd28b5dc5dea38b6168eb21a2b5ef[0] cluster[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6178 commit 8f3a850f9a136b3674ceec60ad5242339f83b498 tempstream refactoring 	6178 commit 8f3a850f9a136b3674ceec60ad5242339f83b498 tempstream refactoring	1	-1	 6178[0] commit[0] 8f3a850f9a136b3674ceec60ad5242339f83b498[0] tempstream[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6223 commit c9ada766944ea116a194ed24f6d14c87eebfa17c watchdog refactor 	6223 commit c9ada766944ea116a194ed24f6d14c87eebfa17c watchdog refactor	1	-1	 6223[0] commit[0] c9ada766944ea116a194ed24f6d14c87eebfa17c[0] watchdog[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6377 commit eca6369331e43da71dfec5b78cf8f81bf7ea09cb ejb refactoring - 2.1 basic working 	6377 commit eca6369331e43da71dfec5b78cf8f81bf7ea09cb ejb refactoring - 2.1 basic working	1	-1	 6377[0] commit[0] eca6369331e43da71dfec5b78cf8f81bf7ea09cb[0] ejb[0] refactoring[0] 2[0] .1[0] basic[0] working[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6723 commit 4d5990461bdb2a5dc47e16c5f4ee21bdc5292149 jms refactoring 	6723 commit 4d5990461bdb2a5dc47e16c5f4ee21bdc5292149 jms refactoring	1	-1	 6723[0] commit[0] 4d5990461bdb2a5dc47e16c5f4ee21bdc5292149[0] jms[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8009 commit 71207dd46080a652dadf148cf69e9e95bfa171dc jaxb property refactor 	8009 commit 71207dd46080a652dadf148cf69e9e95bfa171dc jaxb property refactor	1	-1	 8009[0] commit[0] 71207dd46080a652dadf148cf69e9e95bfa171dc[0] jaxb[0] property[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8529 commit 39c2cd005e2c404da15434cd9e08295fa6d30919 containernode refactor 	8529 commit 39c2cd005e2c404da15434cd9e08295fa6d30919 containernode refactor	1	-1	 8529[0] commit[0] 39c2cd005e2c404da15434cd9e08295fa6d30919[0] containernode[0] refactor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8559 commit 2612be1d1148ea3ca443b71c60d36e65e873410a refactor: document reference in every object 	8559 commit 2612be1d1148ea3ca443b71c60d36e65e873410a refactor: document reference in every object	1	-1	 8559[0] commit[0] 2612be1d1148ea3ca443b71c60d36e65e873410a[0] refactor[0] document[0] reference[0] in[0] every[0] object[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8858 commit 9935fb92f645706301c520e16c30f18ef89b0d7b quercus db code cleanup 	8858 commit 9935fb92f645706301c520e16c30f18ef89b0d7b quercus db code cleanup	1	-1	 8858[0] commit[0] 9935fb92f645706301c520e16c30f18ef89b0d7b[0] quercus[0] db[0] code[0] cleanup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8887 commit d98854a50d9716a4590615424ce3c473ad9e6f3d lib.db refactoring 	887 commit d98854a50d9716a4590615424ce3c473ad9e6f3d lib.<br>db refactoring	1	-1	 8887/887[0] commit[0] d98854a50d9716a4590615424ce3c473ad9e6f3d[0] lib[0] [[Sentence=-1,1=word max, 1-5]] db[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8921 commit 1093baed8cd90fd4d5fcffb5086a8c01973f635b quercus: string refactoring 	8921 commit 1093baed8cd90fd4d5fcffb5086a8c01973f635b quercus: string refactoring	1	-1	 8921[0] commit[0] 1093baed8cd90fd4d5fcffb5086a8c01973f635b[0] quercus[0] string[0] refactoring[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
