Extract Method	Translation	Positive	Negative	EmotionRationale
1848 commit 4d50c269d2da8bf0882b88811af97b9be17f4a76 get cache node refactored 	1848 commit 4d50c269d2da8bf0882b8811af97b9be17f4a76 get cache node refactored	1	-1	 1848[0] commit[0] 4d50c269d2da8bf0882b88811af97b9be17f4a76/4d50c269d2da8bf0882b8811af97b9be17f4a76[0] get[0] cache[0] node[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1877 commit 5b4295207e2ebb3c9e1267d5bd748d7d7d42c762 get user agent and check whether is mobile device refactored 	1877 commit 5b4295207e2ebb3c9e1267d5bd748d7d7d42c762 get user agent and check whether is mobile device refactored	1	-1	 1877[0] commit[0] 5b4295207e2ebb3c9e1267d5bd748d7d7d42c762[0] get[0] user[0] agent[0] and[0] check[0] whether[0] is[0] mobile[0] device[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
1937 commit c00aaac19c0b9172b71589b4cafecf4109bfa91f xml generation refactored 	1937 commit c00ac19c0b9172b71589b4cafecf4109bfa91f xml generation refactored	2	-1	 1937[0] commit[0] c00aaac19c0b9172b71589b4cafecf4109bfa91f/c00ac19c0b9172b71589b4cafecf4109bfa91f[0][+0.6 MultipleLetters] xml[0] generation[0] refactored[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
2363 commit 138400594f45f4fbc445d065ce5f0ee738af04a2 set identity and policy manager refactored 	2363 commit 138400594f45f4fbc445d065ce5f0ee738af04a2 set identity and policy manager refactored	1	-1	 2363[0] commit[0] 138400594f45f4fbc445d065ce5f0ee738af04a2[0] set[0] identity[0] and[0] policy[0] manager[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2471 commit 304d10ff7996917d005c3be34d4ab8d11d67fae1 authentication refactored such that it can be re-used more easily 	2471 commit 304d10ff7996917d005c3be34d4ab8d11d67fae1 authentication refactored such that it can be re-used more easily	1	-1	 2471[0] commit[0] 304d10ff7996917d005c3be34d4ab8d11d67fae1[0] authentication[0] refactored[0] such[0] that[0] it[0] can[0] be[0] re[0] used[0] more[0] easily[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
2899 commit 695f36a7fc9a958e2263331ba795f37da68a5787 generate xml refactored and well-formedness check added 	2899 commit 695f36a7fc9a958e226331ba795f37da68a5787 generate xml refactored and well-formedness check added	1	-1	 2899[0] commit[0] 695f36a7fc9a958e2263331ba795f37da68a5787/695f36a7fc9a958e226331ba795f37da68a5787[0] generate[0] xml[0] refactored[0] and[0] well[0] formedness[0] check[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3365 commit 3799c895f777c3a4ae8efb25a6d348e6b6681cb8 get general info refactored and page info added such as for example checkout info 	3365 commit 3799c895f77c3a4ae8efb25a6d348e6b6681cb8 get general info refactored and page info added such as for example checkout info	1	-1	 3365[0] commit[0] 3799c895f777c3a4ae8efb25a6d348e6b6681cb8/3799c895f77c3a4ae8efb25a6d348e6b6681cb8[0] get[0] general[0] info[0] refactored[0] and[0] page[0] info[0] added[0] such[0] as[0] for[0] example[0] checkout[0] info[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3370 commit 5ef125c2002df3a394877a06c0ef13d6689e19ad some harmless refactorings to help factoring out neutron-auth. issue: 4964 	3370 commit 5ef125c2002df3a394877a06c0ef13d6689e19ad some harmless refactorings to help factoring out neutron-auth.<br> issue: 4964	1	-1	 3370[0] commit[0] 5ef125c2002df3a394877a06c0ef13d6689e19ad[0] some[0] harmless[1][-1 LastWordBoosterStrength] refactorings[0] to[0] help[0] factoring[0] out[0] neutron[0] auth[0] [[Sentence=-1,1=word max, 1-5]] issue[0] 4964[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3494 commit 2d85e9e5ee7e40b0118d35ba5e1a82ea6aa4cd26 added more explicit 'jelly-xml' and 'jelly-text' view-types, please always use these instead of the "intentions-unclear" 'jelly'. also deprecated the 'jelly' view-type and refactored accordingly. (see http://lists.wyona.org/pipermail/yanel-development/2009-may/003567.html for rationale.) issue: 5964 	3494 commit 2d85e9e5ee7e40b0118d35ba5e1a82ea6a4cd26 added more explicit 'jelly-xml' and 'jelly-text' view-types, please always use these instead of the "intentions-unclear" 'jelly'.<br> also deprecated the 'jelly' view-type and refactored accordingly.<br> (see http://lists.<br>wyona.<br>org/pipermail/yanel-development/2009-may/003567.<br>html for rationale.<br> issue: 5964	2	-2	 3494[0] commit[0] 2d85e9e5ee7e40b0118d35ba5e1a82ea6aa4cd26/2d85e9e5ee7e40b0118d35ba5e1a82ea6a4cd26[0] added[0] more[0] explicit[0] 'jelly[0] xml'[0] and[0] 'jelly[0] text'[0] view[0] types[0] please[1] always[0] use[0] these[0] instead[0] of[0] the[0] intentions[0] unclear[-1] 'jelly'[0] [[Sentence=-2,2=word max, 1-5]] also[0] deprecated[0] the[0] 'jelly'[0] view[0] type[0] and[0] refactored[0] accordingly[0] [[Sentence=-1,1=word max, 1-5]] see[0] http[0] ://lists[0] [[Sentence=-1,1=word max, 1-5]] wyona[0] [[Sentence=-1,1=word max, 1-5]] org/pipermail/yanel[0] development/2009[0] may/003567[0] [[Sentence=-1,1=word max, 1-5]] html[0] for[0] rationale[0] [[Sentence=-1,1=word max, 1-5]] issue[0] 5964[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
3573 commit 79ba42e83d8ace409533a8c11e1a72bc49f9188e result class introduced and code refactored accordingly 	3573 commit 79ba42e83d8ace409533a8c11e1a72bc49f9188e result class introduced and code refactored accordingly	1	-1	 3573[0] commit[0] 79ba42e83d8ace409533a8c11e1a72bc49f9188e[0] result[0] class[0] introduced[0] and[0] code[0] refactored[0] accordingly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3577 commit 25b1b456defceb6b5d289ee9c180ddbeb947b1b8 small harmless refactoring. also removed useless casts signaled by eclipse. 	3577 commit 25b1b456defceb6b5d289ee9c180ddbeb947b1b8 small harmless refactoring.<br> also removed useless casts signaled by eclipse.	2	-3	 3577[0] commit[0] 25b1b456defceb6b5d289ee9c180ddbeb947b1b8[0] small[0] harmless[1] refactoring[0] [[Sentence=-1,2=word max, 1-5]] also[0] removed[0] useless[-2] casts[0] signaled[0] by[0] eclipse[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
3618 commit 564dd2bf1cdf5e17bf5078f279880b4ba14988d1 refactoring to ease internal use of resource-types in the servlet. side-effects are: - for the data-repository sitetree page when a view is not found by its viewid we return a 404 status code instead of trying to match resource-types' or else yanel htdocs files. issue: 6897 	3618 commit 564dd2bf1cdf5e17bf5078f279880b4ba14988d1 refactoring to ease internal use of resource-types in the servlet.<br> side-effects are: - for the data-repository sitetree page when a view is not found by its viewid we return a 404 status code instead of trying to match resource-types' or else yanel htdocs files.<br> issue: 6897	1	-1	 3618[0] commit[0] 564dd2bf1cdf5e17bf5078f279880b4ba14988d1[0] refactoring[0] to[0] ease[0] internal[0] use[0] of[0] resource[0] types[0] in[0] the[0] servlet[0] [[Sentence=-1,1=word max, 1-5]] side[0] effects[0] are[0] for[0] the[0] data[0] repository[0] sitetree[0] page[0] when[0] a[0] view[0] is[0] not[0] found[0] by[0] its[0] viewid[0] we[0] return[0] a[0] 404[0] status[0] code[0] instead[0] of[0] trying[0] to[0] match[0] resource[0] types'[0] or[0] else[0] yanel[0] htdocs[0] files[0] [[Sentence=-1,1=word max, 1-5]] issue[0] 6897[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3619 commit ade2d36dbf3c979ecc9913d27379f043d742b585 refactoring to ease internal use of resource-types in the servlet. side-effects are: - all rts now equally honor deprecated "yanel.format" request parameter (hope it's a good thing...) - when using global resource configurations we now close fileinputstreams if an exception occur also reduce visibility of all methods to the minimum needed for backward-compatibility, added missing override annotations and cleaned-up javadoc a bit. issue: 6897 	3619 commit ade2d36dbf3c979ecc9913d27379f043d742b585 refactoring to ease internal use of resource-types in the servlet.<br> side-effects are: - all rts now equally honor deprecated "yanel.<br>format" request parameter (hope it's a good thing.<br> - when using global resource configurations we now close fileinputstreams if an exception occur also reduce visibility of all methods to the minimum needed for backward-compatibility, added missing override annotations and cleaned-up javadoc a bit.<br> issue: 6897	3	-1	 3619[0] commit[0] ade2d36dbf3c979ecc9913d27379f043d742b585[0] refactoring[0] to[0] ease[0] internal[0] use[0] of[0] resource[0] types[0] in[0] the[0] servlet[0] [[Sentence=-1,1=word max, 1-5]] side[0] effects[0] are[0] all[0] rts[0] now[0] equally[0] honor[0] deprecated[0] yanel[0] [[Sentence=-1,1=word max, 1-5]] format[0] request[0] parameter[0] hope[2] it's[0] a[0] good[1] thing[0] [[Sentence=-1,3=word max, 1-5]] when[0] using[0] global[0] resource[0] configurations[0] we[0] now[0] close[0] fileinputstreams[0] if[0] an[0] exception[0] occur[0] also[0] reduce[0] visibility[0] of[0] all[0] methods[0] to[0] the[0] minimum[0] needed[0] for[0] backward[0] compatibility[0] added[0] missing[0] override[0] annotations[0] and[0] cleaned[0] up[0] javadoc[0] a[0] bit[0] [[Sentence=-1,1=word max, 1-5]] issue[0] 6897[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
3708 commit b34754e082866f917a47bd628433acaa442b97cb append view descriptors refactored and some formatting 	3708 commit b34754e082866f917a47bd628433aca442b97cb append view descriptors refactored and some formatting	1	-1	 3708[0] commit[0] b34754e082866f917a47bd628433acaa442b97cb/b34754e082866f917a47bd628433aca442b97cb[0] append[0] view[0] descriptors[0] refactored[0] and[0] some[0] formatting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3710 commit 76001b43182f69f1b2f683c29cb3c5d931adfd4a get resource meta data refactored 	3710 commit 76001b43182f69f1b2f683c29cb3c5d931adfd4a get resource meta data refactored	1	-1	 3710[0] commit[0] 76001b43182f69f1b2f683c29cb3c5d931adfd4a[0] get[0] resource[0] meta[0] data[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4211 commit c42a79e41d589cfc2853dbbb7d20ffec24634550 thanks to gary, workflow transition refactored such that it can also be used with get requests 	4211 commit c42a79e41d589cfc2853dbb7d20ffec24634550 thanks to gary, workflow transition refactored such that it can also be used with get requests	2	-1	 4211[0] commit[0] c42a79e41d589cfc2853dbbb7d20ffec24634550/c42a79e41d589cfc2853dbb7d20ffec24634550[0] thanks[1] to[0] gary[0] workflow[0] transition[0] refactored[0] such[0] that[0] it[0] can[0] also[0] be[0] used[0] with[0] get[0] requests[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
4335 commit da2c449accd64eedb566d41cd9d4a8f954acca69 configuration reading refactored such that it should be much clearer and can be reused 	4335 commit da2c449accd64eedb566d41cd9d4a8f954acca69 configuration reading refactored such that it should be much clearer and can be reused	1	-1	 4335[0] commit[0] da2c449accd64eedb566d41cd9d4a8f954acca69[0] configuration[0] reading[0] refactored[0] such[0] that[0] it[0] should[0] be[0] much[0] clearer[0] and[0] can[0] be[0] reused[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4689 commit c3d41167dbc2a352cb70ffd9833fac6b862846bc set workflow state refactored 	4689 commit c3d41167dbc2a352cb70ffd9833fac6b862846bc set workflow state refactored	1	-1	 4689[0] commit[0] c3d41167dbc2a352cb70ffd9833fac6b862846bc[0] set[0] workflow[0] state[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4769 commit 82c13c02867629229db92ae758b76bed82f496a3 404 refactored 	4769 commit 82c13c02867629229db92ae758b76bed82f496a3 404 refactored	1	-1	 4769[0] commit[0] 82c13c02867629229db92ae758b76bed82f496a3[0] 404[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
4843 commit 29498134f862f9a67c0b4508c26637ca6023268b refactored such that also groups and separators are working 	4843 commit 29498134f862f9a67c0b4508c26637ca6023268b refactored such that also groups and separators are working	1	-1	 4843[0] commit[0] 29498134f862f9a67c0b4508c26637ca6023268b[0] refactored[0] such[0] that[0] also[0] groups[0] and[0] separators[0] are[0] working[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5191 commit 35a9ad9fb4dcfa6fadc4d320b4c0b4c7ee51ae88 toolbar switch refactored and also check is identity is world 	5191 commit 35a9ad9fb4dcfa6fadc4d320b4c0b4c7ee51ae88 toolbar switch refactored and also check is identity is world	1	-1	 5191[0] commit[0] 35a9ad9fb4dcfa6fadc4d320b4c0b4c7ee51ae88[0] toolbar[0] switch[0] refactored[0] and[0] also[0] check[0] is[0] identity[0] is[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
5256 commit 90dc095799c965b00b26cee4802f626432fdc0e8 access control refactored such that auhentication is only called when access denied 	5256 commit 90dc095799c965b00b26cee4802f626432fdc0e8 access control refactored such that auhentication is only called when access denied	1	-2	 5256[0] commit[0] 90dc095799c965b00b26cee4802f626432fdc0e8[0] access[0] control[0] refactored[0] such[0] that[0] auhentication[0] is[0] only[0] called[0] when[0] access[0] denied[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
6583 commit 4ba516032c8efbd3ad433a5d814a9871efb94d07 get global data refactored 	6583 commit 4ba516032c8efbd3ad433a5d814a9871efb94d07 get global data refactored	1	-1	 6583[0] commit[0] 4ba516032c8efbd3ad433a5d814a9871efb94d07[0] get[0] global[0] data[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6672 commit 02d2bf25c346dd10741d4cf828819015557c270c refactoring: get translation manager from the realm and specify implementation in realm configuration. removed obsolete translation manager registry. further added getlanguages() to realm. 	6672 commit 02d2bf25c346dd10741d4cf82881901557c270c refactoring: get translation manager from the realm and specify implementation in realm configuration.<br> removed obsolete translation manager registry.<br> further added getlanguages( to realm.	1	-1	 6672[0] commit[0] 02d2bf25c346dd10741d4cf828819015557c270c/02d2bf25c346dd10741d4cf82881901557c270c[0] refactoring[0] get[0] translation[0] manager[0] from[0] the[0] realm[0] and[0] specify[0] implementation[0] in[0] realm[0] configuration[0] [[Sentence=-1,1=word max, 1-5]] removed[0] obsolete[0] translation[0] manager[0] registry[0] [[Sentence=-1,1=word max, 1-5]] further[0] added[0] getlanguages[0] to[0] realm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6673 commit 61ac2d815f531e34b2553adc01c40a4539e13fdf refactoring: read root-dir config in configure() method 	6673 commit 61ac2d815f531e34b2553adc01c40a4539e13fdf refactoring: read root-dir config in configure( method	1	-1	 6673[0] commit[0] 61ac2d815f531e34b2553adc01c40a4539e13fdf[0] refactoring[0] read[0] root[0] dir[0] config[0] in[0] configure[0] method[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
6822 commit e961e05b9b5242756006a823b0a92de5c1499b3c dom document creation refactored 	6822 commit e961e05b9b5242756006a823b0a92de5c1499b3c dom document creation refactored	1	-1	 6822[0] commit[0] e961e05b9b5242756006a823b0a92de5c1499b3c[0] dom[0] document[0] creation[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
7722 commit b02b6063a2b201a545d3f3106b6a136b0f57a159 save data refactored 	7722 commit b02b6063a2b201a545d3f3106b6a136b0f57a159 save data refactored	2	-1	 7722[0] commit[0] b02b6063a2b201a545d3f3106b6a136b0f57a159[0] save[1] data[0] refactored[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
8005 commit c2ddeb4be95e28fde1b68010b6edd2bf6d22c7d1 refactoring patches of josias added 	8005 commit c2ddeb4be95e28fde1b68010b6edd2bf6d22c7d1 refactoring patches of josias added	1	-1	 8005[0] commit[0] c2ddeb4be95e28fde1b68010b6edd2bf6d22c7d1[0] refactoring[0] patches[0] of[0] josias[0] added[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8423 commit 83bbbd086a1f937c0ec85ac25b12263d945e45da generate content refactored. debug messages pending ... 	8423 commit 83bbd086a1f937c0ec85ac25b12263d945e45da generate content refactored.<br> debug messages pending .	1	-1	 8423[0] commit[0] 83bbbd086a1f937c0ec85ac25b12263d945e45da/83bbd086a1f937c0ec85ac25b12263d945e45da[0] generate[0] content[0] refactored[0] [[Sentence=-1,1=word max, 1-5]] debug[0] messages[0] pending[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8543 commit b8b11f34e9b33055b2c81be5461359477b13b23a refactored and modified xml 	8543 commit b8b11f34e9b33055b2c81be5461359477b13b23a refactored and modified xml	1	-1	 8543[0] commit[0] b8b11f34e9b33055b2c81be5461359477b13b23a[0] refactored[0] and[0] modified[0] xml[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8871 commit decbe9031e35ac057c082e5f77cce486b6defcbc logout refactored 	8871 commit decbe9031e35ac057c082e5f77cce486b6defcbc logout refactored	1	-1	 8871[0] commit[0] decbe9031e35ac057c082e5f77cce486b6defcbc[0] logout[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
8873 commit b61b0508a15fc01a1f8867ce7754a6b0b2d9ca79 authentication refactored 	8873 commit b61b0508a15fc01a1f8867ce7754a6b0b2d9ca79 authentication refactored	1	-1	 8873[0] commit[0] b61b0508a15fc01a1f8867ce7754a6b0b2d9ca79[0] authentication[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9131 commit f0ac9d785f132f0bb83c7c5ddc32edfeb4ec8977 doput and dopost refactored 	9131 commit f0ac9d785f132f0bb83c7c5ddc32edfeb4ec8977 doput and dopost refactored	1	-1	 9131[0] commit[0] f0ac9d785f132f0bb83c7c5ddc32edfeb4ec8977[0] doput[0] and[0] dopost[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
9156 commit fa222e9bb2a56720fa8ce62ae0a6e8f3362c7465 getting mime-type refactored 	9156 commit fa22e9bb2a56720fa8ce62ae0a6e8f3362c7465 getting mime-type refactored	1	-1	 9156[0] commit[0] fa222e9bb2a56720fa8ce62ae0a6e8f3362c7465/fa22e9bb2a56720fa8ce62ae0a6e8f3362c7465[0] getting[0] mime[0] type[0] refactored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
